date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2016-11-25,SKIP,no entry quotes for candidates,2208.18,12.68,,,,,,0,,,,,,,,9.985
2016-11-26,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-28,SKIP,no credit-qualified spread candidate,2207.49,13.46,,,,,,0,,,,,,,,9.886
2016-11-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-30,SKIP,no credit-qualified spread candidate,2213.79,12.57,,,,,,0,,,,,,,,11.507
2016-12-01,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-02,SKIP,no credit-qualified spread candidate,2193.59,14.01,,,,,,0,,,,,,,,10.996
2016-12-03,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-05,SKIP,no credit-qualified spread candidate,2202.07,13.0,,,,,,0,,,,,,,,16.883
2016-12-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-07,SKIP,VIX below minimum (11.65 < 12),2211.04,11.65,,,,,,0,,,,,,,,0.697
2016-12-08,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-09,SKIP,no entry quotes for candidates,2251.17,12.59,,,,,,0,,,,,,,,11.847
2016-12-10,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-12,SKIP,no credit-qualified spread candidate,2258.63,12.49,,,,,,0,,,,,,,,14.239
2016-12-13,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-14,SKIP,no credit-qualified spread candidate,2270.57,13.15,,,,,,0,,,,,,,,12.468
2016-12-15,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-16,SKIP,no option definitions for day,2265.15,12.78,,,,,,0,,,,,,,,8.497
2016-12-17,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-19,SKIP,no credit-qualified spread candidate,2262.46,12.1,,,,,,0,,,,,,,,10.807
